d0	d3_1mm	d3_2mm	d7_1mm	d7_2mm	d14_1mm	d14_2mm
15(S)-HEPE	5.674114521919	6.24989339242993	5.95196475881914	6.97394404814171	6.21481206534503	6.01578633056889	5.24078806467145
16-HDoHE	4.11585590680845	3.83881730333891	3.83551546879829	3.14554665016643	3.46615354665773	3.93121682366246	4.14193611381322
17-HDoHE	3.99210251644365	5.21869518494132	5.21395684757818	5.34660037143482	4.98101686363816	4.2910503862317	4.02287144550243
18-HEPE	3.19830387397484	2.66926297646933	2.48669730227766	3.07474626487128	3.06841506955921	3.19062971122	2.64693094506968
19,20-DiHDoPE	1.54436928033755	2.36081422385733	2.73203509919737	1.91516846877097	2.22905654554473	0.993172244758179	1.24703484040399
19(20)-EpDPE	0.304530823056728	0.862871891740504	0.904456621015928	0.317854216307172	0.496208347063193	0.261860626752635	0.433886609923815
20-HDoHE	4.50790664852567	4.71290940735734	4.6315953794028	4.09211800107412	4.47209399119134	4.61888812577078	4.94914627295421
4-HDoHE	4.41916583097067	4.5511572123941	4.35072648658697	3.59613189322878	4.1535138289871	4.55037574011909	4.74566300001399
5-HETE	4.24444559497361	5.15863174066749	5.2680954441422	4.70510603034249	5.06738372683188	4.87398407421992	5.33806469911036
5-oxoETE	2.64037609992556	2.72550919921706	2.96557882993656	2.336494847127	3.07464580855685	3.16450204566728	3.56995978044165
5(6)-EpETrE	-0.0019930032111162	0.304898264731667	0.41397423959171	-0.30792757292672	0.0613258596743033	0.0152136388044801	0.318215492341294
6kPGF1a	3.24035551646703	2.96979248271943	3.19293387037079	3.86178014727949	3.62533133317344	2.68521742507502	2.71909703399123
8-HDoHE	2.72437649785336	2.64092360281464	2.51123011030895	1.9496534534916	2.37134076971139	2.77071869717739	2.94346734660985
8(S)-HETrE	1.33659038220142	2.01685568036634	1.89171274123209	0.928556783718297	1.61956903313076	1.95997602792724	2.22540686568628
9-HEPE	3.30997623106498	3.35795816318833	3.58407499650703	2.4874495215363	3.22917443232028	3.57823325437899	3.47854082299167
9-HODE	6.63777411001633	6.73210976052733	6.5467802946971	6.77598763360978	6.71623905549053	7.29469974838522	7.25737552151947
9-OxoODE	7.38281566241645	7.02432764611981	6.6194875476843	6.79796748397225	6.42348208484042	7.5700909351082	6.92669292232854
9-OxoOTrE	2.96045180037952	2.23173810137949	1.92703352214525	1.70266333648648	1.97549737979435	2.95685323153567	2.71339621273113
9,10-DiHOME	3.25390445740993	1.88841073411975	2.07400409692052	2.73658173164053	2.47747184235248	2.91145325036751	2.78583614898064
9(S)-HOTrE	3.86980267915828	3.52882893880576	3.34831755995549	3.17599436748596	3.27640570210643	4.15081057423207	3.88783211369178
AT-RvD3	-0.296680535806398	-0.537672028328556	-1.31716566092641	-0.990611702441911	-1.18337358922175	-1.08362861311382	-1.01868652446036
D12-PGJ2	-0.582522807035598	-0.31068618334016	-0.524142156642333	0.615130409873977	0.136193297214007	-0.419200594683263	-0.104073480063275
PD1	2.03258995272377	2.25553404456915	1.77924339564978	2.38242834061955	1.28441871168466	0.875847614100041	0.794272166982962
PGA2	0.567066167040471	0.703162820000124	1.03681258130442	1.75875540294868	1.3506323452875	1.05586754475743	1.39071624753294
PGD2	3.27925274030573	3.50670177154575	3.39183511583581	4.60913805119977	4.3601292414267	3.83796291667493	3.89465293381213
PGE2	5.27821115032452	5.52255787096164	5.71079987430233	5.92666541028351	5.70331405968727	5.24187597334818	5.15264555432475
PGE3	0.317095828184484	-0.436509387951502	-0.266556396904186	0.0321549134239232	-0.431920448522247	-0.799927065574256	-1.17390342004328
PGF2a	3.48782851227915	2.90946845423948	2.75323936211417	3.46456343836682	3.35184148664441	3.26537911014948	3.17986445094492
PGJ2	0.0583148548849661	0.232335040083533	0.451128729412103	1.38135422427695	1.02976168991093	0.717924989060236	1.03058493893949
RvD6 (4,17-DiHDoHE)	-1.93576528104777	-1.95151360139845	-1.50828117945609	-1.62456310618759	-1.6998725689008	-1.9516169218587	-1.37504251117825
tetranor 12-HETE	1.26004838271959	1.2744438762533	1.17067673562527	1.88346463447346	1.0707130275261	1.19426479268607	0.40215269473313
TXB2	3.06306102274078	2.71516286678728	2.72559392429695	3.0939927118087	2.55593029567037	2.41394174975496	2.32863056825074
