d0_left	d0_right	d3_1mm	d3_2mm	d7_1mm	d7_2mm	d14_1mm	d14_2mm
16-HDoHE	3.85896484081244	4.32136875960527	3.83881730333891	3.83551546879829	3.14554665016643	3.46615354665773	3.93121682366246	4.14193611381322
17-HDoHE	4.51222500224123	3.57600452780559	5.21869518494132	5.21395684757818	5.34660037143482	4.98101686363816	4.2910503862317	4.02287144550243
20-HDoHE	4.35353560673406	4.63140348195896	4.71290940735734	4.6315953794028	4.09211800107412	4.47209399119134	4.61888812577078	4.94914627295421
9(10)-EpOME	4.20658380798969	4.47311677963748	4.0681063299575	4.08757127531529	3.77427272599773	4.05153042743898	4.31957132846087	4.14315463529838
12(13)-EpOME	3.19458109283875	3.42541777580024	2.97835511485469	3.04857094206956	2.90344411397911	3.1386648776856	3.46702951698663	3.07895934717727
5(6)-EpETrE	0.100946312976825	-0.0843444561614694	0.304898264731667	0.41397423959171	-0.30792757292672	0.0613258596743033	0.0152136388044801	0.318215492341294
11(12)-EpETrE	0.604899416347393	0.775884952721358	0.948249731259223	1.19616501835752	0.415247823398421	0.971234222439459	0.90257056057421	1.21204766645768
14(15)-EpETrE	1.6260832463486	1.60931853359275	0.502282042728847	0.569400936774038	-0.522557389737941	-0.231107697941467	-0.247872030175397	-0.326382912270834
17(18)-EpETE	-1.23410419769176	-1.43804523673591	-1.45646656231496	-1.47128770109266	-1.63866616718456	-1.57764876134763	-1.44093238252589	-1.88877671930499
7(8)-EpDPE	-1.98411498151097	-1.76498205374048	-1.8409502331813	-1.84819619772981	-1.95776006864744	-2.03256135578316	-1.80999521536992	-1.89620724266394
10(11)-EpDPE	-0.145088100523406	0.439755387185931	-0.772198979932453	-0.468884489238445	-0.799831646780403	-1.00246895843725	-0.655352060481868	-0.844525217022631
13(14)-EpDPE	-1.11687845422433	-0.721282411666514	-0.941445353228016	-0.814678612808732	-1.06928188282218	-0.913570975280847	-0.897454402556633	-0.69801897388653
16(17)-EpDPE	-1.61885246399271	-1.44833150146405	-1.46343033935087	-1.58782280868764	-1.7716205926492	-1.65339725154234	-1.49708622086825	-1.52306423257676
19(20)-EpDPE	0.337258259304586	0.27834887405844	0.862871891740504	0.904456621015928	0.317854216307172	0.496208347063193	0.261860626752635	0.433886609923815
9,10-DiHOME	3.06466965502051	3.40529229932147	1.88841073411975	2.07400409692052	2.73658173164053	2.47747184235248	2.91145325036751	2.78583614898064
12,13-DiHOME	3.0838878474574	3.39457797268291	2.06492654076972	2.15802957292581	2.63262271677648	2.68260898608523	2.94227381296202	3.02759135041127
8,9-DiHETrE	-1.55864472361691	-1.54024890417964	-2.19086105940077	-2.45496913268213	-2.40117230603118	-2.41385917670316	-2.15449456376906	-2.37018701355255
11,12-DiHETrE	-0.303470720259314	-0.141442591497765	-0.715241445414427	-0.422497309804761	-0.397089970913176	-0.269749870739433	-0.405827603732433	0.0217766300772445
14,15-DiHETrE	0.922043901819735	1.03614273767765	0.248675809190501	0.536692946797993	0.373521707667566	0.710336664146574	0.507634280946875	0.861853273687606
19,20-DiHDoPE	1.43892741799336	1.6287227702129	2.36081422385733	2.73203509919737	1.91516846877097	2.22905654554473	0.993172244758179	1.24703484040399
